timestamp,z60_y0_x90,z60_y0_x60,z60_y0_x30,z60_y0_x0,z40_y0_x90,z40_y0_x60,z40_y0_x30,z40_y0_x0,z20_y0_x90,z20_y0_x60,z20_y0_x30,z20_y0_x0
1592899200,-13.1754891324,-18.2122935519,-63.0300193536,-115.5834903951,-49.5184199511,-56.1097743951,-112.0742118975,-291.7912551975,-104.24422839,-135.3788399559,-179.7721000704,-397.5667473351
1592902800,-13.1754891324,-13.1754891324,-62.3143910991,-115.5834903951,-50.1873387975,-60.8829551751,-112.78566975,-292.5338532231,-104.24422839,-136.7977726479,-180.4778445519,-399.0323634951
1592906400,-13.1754891324,-21.0412119996,-63.0300193536,-115.5834903951,-50.1873387975,-62.3143910991,-112.78566975,-293.9724432624,-106.3803960975,-133.2973059519,-182.5947191664,-406.2648536271
1592910000,-13.1754891324,-21.0412119996,-63.0300193536,-115.5834903951,-50.1873387975,-57.3987951516,-113.4496431216,-295.4571715056,-107.09233239,-138.2164661199,-184.0056698844,-409.1468442624
1592913600,-13.1754891324,-18.2122935519,-63.7455878031,-116.2946532096,-50.90397975,-67.3225329756,-114.8722677756,-302.7840275484,-108.51602556,-139.6349203719,-185.4163813824,-416.37005319
1592917200,-21.0412119996,-21.0412119996,-67.3225329756,-117.0057562191,-51.5250201999,-68.7528924096,-116.2946532096,-307.9274075199,-110.6511167775,-140.3440577904,-188.2370867184,-429.3824798775
1592920800,-21.6164720124,-21.0412119996,-68.0377425951,-118.4277828231,-51.5250201999,-62.3143910991,-117.7167994236,-313.0675125696,-112.0742118975,-140.3440577904,-188.9421135399,-436.5870843999
1592924400,-21.6164720124,-21.0412119996,-69.4203116124,-119.1387064176,-52.1937827559,-72.9948845199,-121.2711183711,-325.5105785079,-113.4496431216,-141.7621532124,-189.6470805564,-443.1019870656
1592928000,-17.1092441856,-21.6164720124,-71.5652347719,-122.6924273151,-52.1937827559,-73.7096196864,-122.6924273151,-333.5490089319,-114.1609853511,-138.9257231484,-191.0098472079,-456.0700224951
1592931600,-17.1092441856,-27.8460021504,-72.9948845199,-123.4029920796,-52.81472991,-75.1389106044,-124.1134970391,-339.3649176879,-114.1609853511,-143.1800094144,-192.4193705799,-461.7963768519
1592935200,-17.1092441856,-21.0412119996,-73.7096196864,-126.1972999119,-53.4833919936,-75.8534663559,-126.9075696384,-350.3390097231,-113.4496431216,-144.5976263964,-192.4193705799,-466.1110760124
1592938800,-17.6847657456,-21.0412119996,-75.1389106044,-128.3279296764,-54.1520019804,-72.9948845199,-127.6177795599,-354.6691674375,-114.1609853511,-140.3440577904,-194.5332071004,-474.7332777984
1592942400,-17.6847657456,-21.6164720124,-76.5679623024,-128.3279296764,-54.1520019804,-73.7096196864,-129.0380199879,-359.04300444,-114.8722677756,-146.0150041584,-195.2376996639,-479.17676775
1592946000,-17.1092441856,-24.6838789884,-77.2823984439,-130.4580211959,-55.4413169775,-72.9948845199,-130.4580211959,-364.8863869239,-115.5834903951,-143.1800094144,-194.5332071004,-479.9019930876
1592949600,-31.6294453839,-21.6164720124,-75.1389106044,-131.8777831839,-58.0671,-72.9948845199,-129.7480504944,-355.4059816551,-119.8495702071,-146.0150041584,-190.3049958144,-448.1552624319
1592953200,-27.8460021504,-24.6838789884,-74.4242950479,-133.2973059519,-58.7353527516,-71.5652347719,-129.0380199879,-352.5043821564,-120.5603741916,-146.6763652476,-191.0098472079,-445.9704641631
1592956800,-21.6164720124,-31.6294453839,-73.7096196864,-134.0069776284,-58.7353527516,-70.8503201904,-129.0380199879,-350.3390097231,-123.4029920796,-149.5101798396,-191.7146387964,-443.8305891264
1592960400,-24.6838789884,-31.6294453839,-72.9948845199,-134.7165894999,-59.4512800311,-72.9948845199,-129.0380199879,-349.6017276975,-124.1134970391,-150.2184839751,-193.1240425584,-445.2420619839
1592964000,-21.6164720124,-31.6294453839,-72.9948845199,-134.7165894999,-60.1671475056,-70.1353458039,-129.0380199879,-347.3894733519,-124.7765810439,-149.5101798396,-193.8286547319,-445.2420619839
1592967600,-24.6838789884,-26.6004554844,-72.2800895484,-134.0069776284,-60.1671475056,-69.4203116124,-129.0380199879,-346.6519191471,-127.6177795599,-146.6763652476,-195.2376996639,-448.8378863004
1592971200,-24.6838789884,-26.6004554844,-72.2800895484,-134.0069776284,-60.1671475056,-69.4203116124,-129.0380199879,-345.9604002816,-128.3279296764,-150.2184839751,-196.6465053759,-451.02188079
1592974800,-31.6294453839,-17.6847657456,-71.5652347719,-134.7165894999,-60.8829551751,-70.8503201904,-129.0380199879,-345.9604002816,-124.1134970391,-150.9267283056,-198.0550718679,-454.6150383351
1592978400,-21.6164720124,-17.6847657456,-71.5652347719,-134.0069776284,-60.8829551751,-70.1353458039,-129.7480504944,-347.3894733519,-124.7765810439,-152.3430375516,-201.5285130831,-464.7033852231
1592982000,-17.1092441856,-17.6847657456,-72.9948845199,-134.0069776284,-60.8829551751,-69.4203116124,-130.4580211959,-351.7673000124,-126.9075696384,-154.4670528831,-202.8424085751,-472.6013105775
1592985600,-17.6847657456,-17.6847657456,-74.4242950479,-133.2973059519,-61.5987030396,-75.1389106044,-132.5875744704,-360.5157567984,-128.3279296764,-155.8827640791,-204.8597709084,-29.0913691356
1592989200,-17.1092441856,-17.6847657456,-76.5679623024,-133.2973059519,-61.5987030396,-76.5679623024,-134.0069776284,-58.0671,-129.7480504944,-156.5905299696,-206.17313799,-12.59966775
1592992800,-17.6847657456,-17.6847657456,-77.2823984439,-138.2164661199,-62.3143910991,-77.2823984439,-134.7165894999,-23.4378762096,-131.8777831839,-157.25105751,-206.17313799,-12.59966775
1592996400,-17.6847657456,-17.6847657456,-77.9967747804,-134.0069776284,-63.0300193536,-79.4253480384,-136.7977726479,-17.6847657456,-132.5875744704,-154.4670528831,-205.5164804976,-12.59966775
1593000000,-17.6847657456,-18.2122935519,-78.7110913119,-134.7165894999,-63.7455878031,-80.1395449599,-138.2164661199,-17.6847657456,-134.7165894999,-157.9587077775,-200.8714871919,-12.59966775
