timestamp,air_humidity
1469253600,56.0
1469257200,66.0
1469260800,64.0
1469264400,65.0
1469268000,60.0
1469271600,55.0
1469275200,60.0
1469278800,58.0
1469282400,47.0
1469286000,45.0
1469289600,43.0
1469293200,39.0
1469296800,44.0
1469300400,50.0
1469304000,51.0
1469307600,54.0
1469311200,59.0
1469314800,61.0
1469318400,62.0
1469322000,67.0
1469325600,68.0
1469329200,72.0
1469332800,78.0
1469336400,76.0
1469340000,75.0
1469343600,71.0
1469347200,69.0
1469350800,64.0
1469354400,61.0
1469358000,56.0
1469361600,51.0
1469365200,49.0
1469368800,49.0
1469372400,49.0
1469376000,47.0
1469379600,44.0
1469383200,43.0
1469386800,46.0
1469390400,51.0
1469394000,52.0
1469397600,53.0
1469401200,55.0
1469404800,56.0
1469408400,56.0
1469412000,58.0
1469415600,60.0
1469419200,63.0
1469422800,64.0
1469426400,64.0
1469430000,58.0
1469433600,52.0
1469437200,49.0
1469440800,43.0
1469444400,43.0
1469448000,35.0
1469451600,32.0
1469455200,35.0
1469458800,49.0
1469462400,67.0
1469466000,62.0
1469469600,64.0
1469473200,67.0
1469476800,66.0
1469480400,71.0
1469484000,72.0
1469487600,75.0
1469491200,76.0
1469494800,77.0
1469498400,77.0
1469502000,78.0
1469505600,76.0
1469509200,75.0
1469512800,71.0
1469516400,67.0
1469520000,59.0
1469523600,54.0
1469527200,47.0
1469530800,35.0
1469534400,33.0
1469538000,32.0
1469541600,34.0
1469545200,33.0
1469548800,33.0
1469552400,33.0
1469556000,44.0
1469559600,46.0
1469563200,53.0
1469566800,57.0
1469570400,60.0
1469574000,62.0
1469577600,63.0
1469581200,63.0
1469584800,65.0
1469588400,62.0
1469592000,65.0
1469595600,65.0
1469599200,64.0
1469602800,57.0
1469606400,53.0
1469610000,50.0
1469613600,44.0
1469617200,42.0
1469620800,39.0
1469624400,39.0
1469628000,38.0
1469631600,47.0
1469635200,53.0
1469638800,52.0
1469642400,47.0
1469646000,49.0
1469649600,53.0
1469653200,58.0
1469656800,63.0
1469660400,63.0
1469664000,65.0
1469667600,65.0
1469671200,70.0
1469674800,68.0
1469678400,66.0
1469682000,65.0
1469685600,64.0
1469689200,58.0
1469692800,49.0
1469696400,44.0
1469700000,44.0
1469703600,37.0
1469707200,36.0
1469710800,33.0
1469714400,32.0
1469718000,32.0
1469721600,31.0
1469725200,33.0
1469728800,35.0
1469732400,38.0
1469736000,53.0
1469739600,58.0
1469743200,62.0
1469746800,64.0
1469750400,69.0
1469754000,73.0
1469757600,75.0
1469761200,78.0
1469764800,78.0
1469768400,77.0
1469772000,70.0
1469775600,63.0
1469779200,56.0
1469782800,52.0
1469786400,44.0
1469790000,41.0
1469793600,37.0
1469797200,34.0
1469800800,33.0
1469804400,32.0
1469808000,34.0
1469811600,40.0
1469815200,41.0
1469818800,42.0
1469822400,42.0
1469826000,44.0
1469829600,45.0
1469833200,41.0
1469836800,43.0
1469840400,46.0
1469844000,47.0
1469847600,48.0
1469851200,49.0
1469854800,50.0
1469858400,50.0
1469862000,46.0
1469865600,45.0
1469869200,42.0
1469872800,37.0
1469876400,34.0
1469880000,32.0
1469883600,31.0
1469887200,29.0
1469890800,29.0
1469894400,29.0
1469898000,31.0
1469901600,37.0
1469905200,43.0
1469908800,41.0
1469912400,40.0
1469916000,41.0
1469919600,43.0
1469923200,44.0
1469926800,46.0
1469930400,48.0
1469934000,49.0
1469937600,52.0
1469941200,53.0
1469944800,53.0
1469948400,48.0
1469952000,43.0
1469955600,41.0
1469959200,45.0
1469962800,45.0
1469966400,44.0
1469970000,43.0
1469973600,40.0
1469977200,38.0
1469980800,38.0
1469984400,46.0
1469988000,51.0
1469991600,53.0
1469995200,56.0
1469998800,60.0
1470002400,63.0
1470006000,65.0
1470009600,62.0
1470013200,61.0
1470016800,61.0
1470020400,62.0
1470024000,63.0
1470027600,64.0
1470031200,64.0
1470034800,55.0
1470038400,51.0
1470042000,49.0
1470045600,48.0
1470049200,46.0
1470052800,44.0
1470056400,40.0
1470060000,37.0
1470063600,44.0
1470067200,51.0
1470070800,50.0
1470074400,51.0
1470078000,53.0
1470081600,53.0
1470085200,54.0
1470088800,57.0
1470092400,60.0
1470096000,62.0
1470099600,66.0
1470103200,70.0
1470106800,73.0
1470110400,81.0
1470114000,83.0
1470117600,78.0
1470121200,66.0
1470124800,61.0
1470128400,55.0
1470132000,49.0
1470135600,42.0
1470139200,37.0
1470142800,35.0
1470146400,33.0
1470150000,31.0
1470153600,31.0
1470157200,33.0
1470160800,34.0
1470164400,34.0
1470168000,36.0
1470171600,40.0
1470175200,43.0
1470178800,51.0
1470182400,54.0
1470186000,58.0
1470189600,59.0
1470193200,60.0
1470196800,61.0
1470200400,61.0
1470204000,61.0
1470207600,53.0
1470211200,44.0
1470214800,41.0
1470218400,36.0
1470222000,32.0
1470225600,29.0
1470229200,27.0
1470232800,26.0
1470236400,25.0
1470240000,27.0
1470243600,31.0
1470247200,34.0
1470250800,38.0
1470254400,40.0
1470258000,44.0
1470261600,48.0
1470265200,50.0
1470268800,53.0
1470272400,56.0
1470276000,59.0
1470279600,61.0
1470283200,62.0
1470286800,63.0
1470290400,59.0
1470294000,50.0
1470297600,47.0
1470301200,42.0
1470304800,35.0
1470308400,29.0
1470312000,27.0
1470315600,28.0
1470319200,28.0
1470322800,28.0
1470326400,27.0
1470330000,30.0
1470333600,32.0
1470337200,36.0
1470340800,40.0
1470344400,40.0
1470348000,39.0
1470351600,38.0
1470355200,36.0
1470358800,37.0
1470362400,36.0
1470366000,40.0
1470369600,44.0
1470373200,43.0
1470376800,39.0
1470380400,39.0
1470384000,53.0
1470387600,54.0
1470391200,47.0
1470394800,46.0
1470398400,44.0
1470402000,45.0
1470405600,49.0
1470409200,46.0
1470412800,47.0
1470416400,51.0
1470420000,51.0
1470423600,47.0
1470427200,49.0
1470430800,51.0
1470434400,51.0
1470438000,45.0
1470441600,46.0
1470445200,51.0
1470448800,57.0
1470452400,53.0
1470456000,53.0
1470459600,78.0
1470463200,88.0
1470466800,85.0
1470470400,74.0
1470474000,55.0
1470477600,51.0
1470481200,36.0
1470484800,33.0
1470488400,34.0
1470492000,31.0
1470495600,30.0
1470499200,31.0
1470502800,32.0
1470506400,32.0
1470510000,34.0
1470513600,37.0
1470517200,41.0
1470520800,51.0
1470524400,55.0
1470528000,57.0
1470531600,57.0
1470535200,58.0
1470538800,58.0
1470542400,62.0
1470546000,64.0
1470549600,60.0
1470553200,55.0
1470556800,50.0
1470560400,41.0
1470564000,32.0
1470567600,28.0
1470571200,26.0
1470574800,24.0
1470578400,25.0
1470582000,26.0
1470585600,28.0
1470589200,27.0
1470592800,28.0
1470596400,30.0
1470600000,35.0
1470603600,41.0
1470607200,45.0
1470610800,47.0
1470614400,50.0
1470618000,53.0
1470621600,54.0
1470625200,53.0
1470628800,51.0
1470632400,53.0
1470636000,51.0
1470639600,50.0
1470643200,50.0
1470646800,48.0
1470650400,39.0
1470654000,33.0
1470657600,32.0
1470661200,28.0
1470664800,28.0
1470668400,26.0
1470672000,26.0
1470675600,26.0
1470679200,27.0
1470682800,29.0
1470686400,32.0
1470690000,36.0
1470693600,40.0
1470697200,44.0
1470700800,47.0
1470704400,47.0
1470708000,50.0
1470711600,49.0
1470715200,49.0
1470718800,52.0
1470722400,50.0
